nom_op,id_station_anfr,latitude,longitude,nom_com
Orange,772290290,48.95667,2.60916,Mitry-Mory
Orange,772290460,48.14361,2.46861,Beaumont-du-Gâtinais
Orange,772290020,48.34444,2.6375,Recloses
Orange,772290019,48.17916,2.8775,Égreville
Orange,772290493,48.48834,2.5125,Saint-Sauveur-sur-École
Orange,772290021,48.92917,3.03222,Saint-Jean-les-Deux-Jumeaux
Orange,772290022,48.86028,2.84666,Coutevroult
Orange,772290167,49.04639,2.66583,Longperrier
Orange,772290304,49.05277,2.6875,Dammartin-en-Goële
Orange,772290572,48.68,2.66528,Grisy-Suisnes
Orange,772290023,48.68083,2.96388,Rozay-en-Brie
Orange,772290026,48.69667,3.2461,Beton-Bazoches
Orange,772290013,48.8225,3.09639,Coulommiers
Orange,772290313,48.77555,3.29028,La Ferté-Gaucher
Orange,772290027,48.4025,3.025,Saint-Germain-Laval
Orange,772290014,48.42667,2.71084,Fontainebleau
Orange,772290322,48.55417,3.02749,Nangis
Orange,772290012,48.55277,3.30777,Provins
Orange,772290539,48.885,2.57805,Chelles
Orange,772290327,48.53638,2.67584,Vaux-le-Pénil
Orange,772290030,48.95194,2.9,Meaux
Orange,772290278,48.73638,2.77612,Tournan-en-Brie
Orange,772290324,48.69944,2.61389,Brie-Comte-Robert
Orange,772290037,48.8825,2.77028,Chessy
Orange,772290034,48.8925,2.61112,Chelles
Orange,772290285,48.64333,2.54361,Lieusaint
Orange,772290035,48.86861,2.70833,Lagny-sur-Marne
Orange,772290043,48.94805,2.69195,Claye-Souilly
Orange,772290457,48.1825,2.71778,Souppes-sur-Loing
Orange,772290044,48.62,3.19583,Chenoise-Cucharmoy
Orange,772290323,48.94833,3.14112,La Ferté-sous-Jouarre
Orange,772290042,48.46944,3.09555,Gurcy-le-Châtel
Orange,772290454,48.54972,2.8875,La Chapelle-Gauthier
Orange,772290048,48.64612,2.81834,Verneuil-l'Étang
Orange,772290047,48.80833,2.81444,Villeneuve-le-Comte
Orange,772290103,48.77084,2.86278,La Houssaye-en-Brie
Orange,772290059,48.73444,2.9775,Pézarches
Orange,772290300,48.26055,2.70638,Nemours
Orange,772290060,48.54222,2.79694,Châtillon-la-Borde
Orange,772290045,48.46473,2.85556,Pamfou
Orange,772290055,48.40973,2.74139,Fontainebleau
Orange,772290053,48.96611,2.94889,Trilport
Orange,772290079,48.76305,2.66223,Ozoir-la-Ferrière
Orange,772290255,48.90888,2.80416,Esbly
Orange,772290259,49.01556,3.15612,Dhuisy
Orange,772290503,48.86889,2.57777,Chelles
Orange,772290081,49.02944,2.79861,Saint-Soupplets
